Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
TOI-451 c,9.1925 ± 0.0,0.0795 ± 0.005,0.0116 +0.0101 -0.0076,--,3.7 +3.2 -2.4,--,2.93 ± 0.16,Transit,<a refstr=BARRAGAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.546ag087B/abstract target=ref>Barrag&aacute;n et al. 2026</a>
TOI-451 b,1.8587 ± 0.0,0.0274 ± 0.0017,0.0148 +0.0066 -0.0069,--,4.7 +2.1 -2.2,--,1.84 ± 0.11,Transit,<a refstr=BARRAGAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.546ag087B/abstract target=ref>Barrag&aacute;n et al. 2026</a>
TOI-451 d,16.365 ± 0.0,0.1168 +0.0072 -0.0074,0.0321 +0.0145 -0.0142,--,10.2 +4.6 -4.5,--,3.93 ± 0.2,Transit,<a refstr=BARRAGAN_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.546ag087B/abstract target=ref>Barrag&aacute;n et al. 2026</a>
XO-2 S c,120.059 ± 0.013,0.4737 +0.0085 -0.0088,1.38 ± 0.05,1.38 ± 0.05,438.6032 ± 15.8914,438.6032 ± 15.8914,13.6,Radial Velocity,<a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
XO-2 S d,4696.0 +1133.0 -489.0,5.46 +0.85 -0.4,3.71 +1.2 -0.51,3.71 +1.2 -0.51,1179.1434 +381.3941 -162.0925,1179.1434 +381.3941 -162.0925,13.0,Radial Velocity,<a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
XO-2 S b,18.22 ± 0.001,0.1347 ± 0.0025,0.26 ± 0.01,0.26 ± 0.01,82.6354 ± 3.1783,82.6354 ± 3.1783,10.9,Radial Velocity,<a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
XO-2 N b,2.6159 ± 0.0,0.0367 ± 0.0006,0.629 ± 0.017,0.594 ± 0.022,199.9151 ± 5.4031,188.7901 ± 6.9922,11.1305 ± 0.1345,Transit,<a refstr=RUGGIERI_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.116R/abstract target=ref>Ruggieri et al. 2024</a>
K2-32 e,4.3493 ± 0.0004,0.049 ± 0.0004,0.0066 +0.0041 -0.0035,--,2.1 +1.3 -1.1,--,1.212 +0.052 -0.046,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
K2-32 d,31.717 ± 0.001,0.1842 +0.0015 -0.0014,0.0211 ± 0.0079,--,6.7 ± 2.5,--,3.484 +0.112 -0.129,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
K2-32 c,20.6609 ± 0.0008,0.1384 ± 0.0011,0.0255 ± 0.0076,--,8.1 ± 2.4,--,3.134 +0.123 -0.102,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
