Planet_Name,Orbital_Period_Days,Semi_Major_Axis_AU,Planet_Mass_Jup,Mpsini_Jup,Planet_Mass_Earth,Mpsini_Earth,Planet_Radius_Earth,Discovery_Method,Planet_Ref
TOI-663 b,2.5989 ± 0.0,0.0295 ± 0.0011,0.014 +0.002 -0.0021,--,4.45 +0.63 -0.66,--,2.27 +0.1 -0.09,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
TOI-663 d,7.1027 ± 0.0,0.0576 +0.0021 -0.0022,0.0164,--,5.2,--,1.92 ± 0.13,Transit,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>
Kepler-138 e,38.23 ± 0.006,0.1803 ± 0.0014,0.0014 +0.0007 -0.0003,--,0.43 +0.21 -0.1,--,0.797,Transit Timing Variations,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138 c,13.7815 ± 0.0001,0.0913 ± 0.0007,0.0072 +0.0019 -0.0016,--,2.3 +0.6 -0.5,--,1.51 ± 0.04,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138 b,10.3134 ± 0.0003,0.0753 ± 0.0006,0.0002 ± 0.0001,--,0.07 ± 0.02,--,0.64 ± 0.02,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
Kepler-138 d,23.0923 ± 0.0006,0.1288 ± 0.001,0.0066 +0.0019 -0.0022,--,2.1 +0.6 -0.7,--,1.51 ± 0.04,Transit,<a refstr=PIAULET_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023NatAs...7..206P/abstract target=ref>Piaulet et al. 2023</a>
K2-133 b,3.0713 ± 0.0001,0.0319 ± 0.0003,0.0074,--,2.36,--,1.34 +0.077 -0.076,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133 c,4.8678 ± 0.0001,0.0434 ± 0.0003,0.0101,--,3.2,--,1.603 +0.09 -0.088,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133 d,11.0245 +0.0004 -0.0003,0.0749 ± 0.0006,0.0147,--,4.67,--,2.003 ± 0.107,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-133 e,26.5841 +0.0018 -0.0017,0.1346 ± 0.0011,0.0115,--,3.64,--,1.73 +0.14 -0.13,Transit,<a refstr=WELLS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.1865W/abstract target=ref>Wells et al. 2019</a>
K2-384 e,9.715 +0.001 -0.0007,--,0.0075,--,2.37,--,1.345 +0.139 -0.082,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384 f,13.6275 +0.0003 -0.0006,--,0.0175,--,5.57,--,2.222 +0.091 -0.082,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384 b,2.2315 +0.0002 -0.0003,--,0.004,--,1.26,--,1.076 +0.232 -0.06,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384 c,4.1948 +0.0003 -0.0002,--,0.0057,--,1.82,--,1.191 +0.053 -0.075,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
K2-384 d,6.6796 +0.0007 -0.0005,--,0.0079,--,2.52,--,1.392 +0.118 -0.075,Transit,<a refstr=CHRISTIANSEN_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..244C/abstract target=ref>Christiansen et al. 2022</a>
Kepler-446 d,5.1489 ± 0.0,0.0403,0.0075,--,2.39,--,1.35 ± 0.22,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-446 b,1.5654 ± 0.0,0.0182,0.009,--,2.86,--,1.5 ± 0.25,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-446 c,3.0362 ± 0.0,0.0283,0.0044,--,1.41,--,1.11 ± 0.18,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
TOI-1749 c,4.4929 +0.0038 -0.0027,0.0443 ± 0.0008,0.044,--,14.0,--,2.12 ± 0.12,Transit,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>
TOI-1749 b,2.3884 +0.0003 -0.0007,0.0291 ± 0.0005,0.1793,--,57.0,--,1.39 +0.21 -0.19,Transit,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>
TOI-1749 d,9.0497 +0.0049 -0.0032,0.0707 ± 0.0012,0.0472,--,15.0,--,2.52 ± 0.15,Transit,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>
Kepler-445 c,4.8712 ± 0.0,0.0301,0.0215,--,6.85,--,2.51 ± 0.36,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-445 b,2.9842 ± 0.0,0.0217,0.0098,--,3.12,--,1.58 ± 0.23,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-445 d,8.1527 ± 0.0004,0.0439,0.0066,--,2.1,--,1.25 ± 0.19,Transit,<a refstr=MUIRHEAD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...801...18M/abstract target=ref>Muirhead et al. 2015</a>
Kepler-296 c,5.8416 ± 0.0,0.0521 +0.0088 -0.0086,0.0147,--,4.66,--,2.0 +0.33 -0.32,Transit,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>
Kepler-296 d,19.8503 ± 0.0001,0.118 ± 0.02,0.0158,--,5.02,--,2.09 +0.33 -0.32,Transit,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>
Kepler-296 e,34.1421 ± 0.0003,0.169 +0.029 -0.028,0.0093,--,2.96,--,1.53 +0.27 -0.25,Transit,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>
