           Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                   Ref_Estrella
           HD 20782                    5       35.98640         G1.5 V 5782.130000   1.126810  1.040000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
          HD 207832                    2       58.92910           G5 V 5726.000000   0.890000  1.050000                                 <a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
           HD 20794                    4        6.00278           G6 V 5368.000000   0.930000  0.790000                                  <a refstr=NARI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.297N/abstract target=ref>Nari et al. 2025</a>
          HD 213885                    2       48.08830              G 5978.000000   1.101100  1.068000                         <a refstr=ESPINOZA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2982E/abstract target=ref>Espinoza et al. 2020</a>
           HD 21693                    2       33.25500           G8 V 5430.000000   0.914378  0.800000                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
          HD 217107                    2       20.06190              G 5622.000000   1.224500  1.045000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
          HD 219828                    2       73.11400          G0 IV 5891.000000   1.560000  1.040000                             <a refstr=SANTOS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592A..13S/abstract target=ref>Santos et al. 2016</a>
          HD 224018                    3      105.48000            G V 5784.000000   1.147000  1.013000                            <a refstr=DAMASSO_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...702A.118D/abstract target=ref>Damasso et al. 2025</a>
           HD 24040                    2       46.62240           G0 V 5776.486032   1.387296  1.103940                       <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
           HD 28185                    2       39.38090             G5 5602.000000   1.048000  0.974000                              <a refstr=VENNER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535...90V/abstract target=ref>Venner et al. 2024</a>
           HD 28471                    3       43.64550           G5 V 5766.000000   1.080000  0.980000                        <a refstr=STEVENSON_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.543...28S/abstract target=ref>Stevenson et al. 2025</a>
           HD 30177                    2       55.58670           G8 V 5580.000000   1.019000  0.980000                     <a refstr=WITTENMYER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..167W/abstract target=ref>Wittenmyer et al. 2017</a>
           HD 31527                    3       38.44730           G2 V 5898.000000   1.073694  0.960000                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
           HD 34445                    6       46.09070           G0 V 5879.000000   1.380000  1.140000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 37124                    3       31.66340           G4 V 5698.640480   0.949168  0.850000                       <a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>
           HD 38529                    2       42.35380          G4 IV 5697.000000   2.857838  0.980000                   <a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>
           HD 39091                    3       18.27020           G0 V 5998.000000   1.190000  1.070000                             <a refstr=HATZES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..223H/abstract target=ref>Hatzes et al. 2022</a>
            HD 4203                    2       81.37950             G5 5582.000000   1.497950  0.990000                                         <a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
           HD 43197                    2       62.41120           G8 V 5508.000000   1.000000  0.960000                             <a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>
           HD 45184                    2       21.95320         G1.5 V 5869.000000   1.075139  1.030000                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
           HD 47186                    2       37.45740           G6 V 5657.000000   1.080000  0.960000                           <a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
           HD 48265                    2       90.54460        G5 IV/V 5805.000000   2.050000  1.380000                                      <a refstr=WU_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026AJ....171..189W/abstract target=ref>Wu et al. 2026</a>
           HD 50499                    2       46.28450           G1 V 6099.000000   1.420000  1.310000                           <a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>
           HD 51608                    2       35.05530           G7 V 5358.000000   0.916136  0.800000                                 <a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>
