      Estrella  Planetas_en_Sistema  Distancia(pc) Tipo_Espectral      Temp_K  Radio_Sol  Masa_Sol                                                                                                                                                        Ref_Estrella
          K2-5                    2      202.94300         K7.5 V 3930.000000   0.570000  0.610000                              <a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>
          K2-8                    2      403.51300           K3 V 4870.000000   0.740000  0.780000                              <a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>
        KOBE-1                    2       23.97180           K7 V 4135.000000   0.619000  0.629000                <a refstr=BALSALOBRE_RUZA_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...694A..15B/abstract target=ref>Balsalobre-Ruza et al. 2025</a>
    Kepler-158                    3      315.17700              K 4895.970000   0.668000  0.656000                                       <a refstr=WANG_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.1913W/abstract target=ref>Wang et al. 2024</a>
    Kepler-167                    4      341.90800             K4 4884.000000   0.749000  0.777000                                <a refstr=CHACHAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926...62C/abstract target=ref>Chachan et al. 2022</a>
    Kepler-278                    2      443.03000      K2 III-IV 4965.000000   2.861000  1.227000                  <a refstr=JOFR_AMP_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...634A..29J/abstract target=ref>Jofr&eacute; et al. 2020</a>
    Kepler-287                    2      835.86000           K7 V 5806.000000   1.032000  0.963000                                     <a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>
    Kepler-391                    2      869.23600      K2 III-IV 5038.000000   2.879000  1.270000                  <a refstr=JOFR_AMP_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...634A..29J/abstract target=ref>Jofr&eacute; et al. 2020</a>
    Kepler-411                    4      153.67600           K2 V 4974.000000   0.820000  0.870000                                    <a refstr=WANG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....4W/abstract target=ref> Wang et al. 2014 </a>
    Kepler-444                    5       36.43960              K 5046.000000   0.752000  0.758000                              <a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>
