Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
Kepler-120 b,146,9837,17,158000000000.0,10700000000000.0,18400000000.0
Kepler-120 c,95,9889,16,263000000000.0,27400000000000.0,44400000000.0
Kepler-125 b,137,9844,19,82500000000.0,5930000000000.0,11400000000.0
Kepler-125 c,66,9913,21,61500000000.0,9230000000000.0,19600000000.0
Kepler-138 b,63,9906,31,128000000000.0,20100000000000.0,62900000000.0
Kepler-138 c,92,9890,18,275000000000.0,29500000000000.0,53700000000.0
Kepler-138 d,89,9886,25,529000000000.0,58700000000000.0,149000000000.0
Kepler-138 e,67,9911,22,780000000000.0,115000000000000.0,256000000000.0
Kepler-155 b,113,9868,19,127000000000.0,11100000000000.0,21300000000.0
Kepler-155 c,119,9864,17,2500000000000.0,207000000000000.0,357000000000.0
Kepler-159 b,125,9863,12,301000000000.0,23700000000000.0,28900000000.0
Kepler-159 c,178,9807,15,3030000000000.0,167000000000000.0,255000000000.0
Kepler-186 b,81,9892,27,34100000000.0,4170000000000.0,11400000000.0
Kepler-186 c,89,9888,23,64800000000.0,7200000000000.0,16800000000.0
Kepler-186 d,96,9890,14,210000000000.0,21600000000000.0,30600000000.0
Kepler-186 e,89,9887,24,386000000000.0,42800000000000.0,104000000000.0
Kepler-186 f,87,9896,17,5810000000000.0,661000000000000.0,1140000000000.0
Kepler-205 b,97,9884,19,35600000000.0,3620000000000.0,6970000000.0
Kepler-205 c,101,9878,21,538000000000.0,52600000000000.0,112000000000.0
Kepler-210 b,137,9847,16,50200000000.0,3610000000000.0,5870000000.0
Kepler-210 c,166,9824,10,291000000000.0,17200000000000.0,17500000000.0
Kepler-225 b,87,9896,17,97700000000.0,11100000000000.0,19100000000.0
Kepler-225 c,108,9874,18,476000000000.0,43600000000000.0,79400000000.0
Kepler-231 b,320,9671,9,627000000000.0,19000000000000.0,17600000000.0
Kepler-231 c,260,9725,15,1210000000000.0,45300000000000.0,69800000000.0
Kepler-235 b,124,9864,12,60800000000.0,4840000000000.0,5880000000.0
Kepler-235 c,89,9889,22,135000000000.0,15000000000000.0,33300000000.0
Kepler-235 d,116,9869,15,618000000000.0,52600000000000.0,79900000000.0
Kepler-235 e,124,9860,16,2010000000000.0,160000000000000.0,260000000000.0
Kepler-236 b,99,9883,18,150000000000.0,15000000000000.0,27200000000.0
Kepler-236 c,113,9870,17,705000000000.0,61600000000000.0,106000000000.0
Kepler-249 b,82,9899,19,36000000000.0,4340000000000.0,8330000000.0
Kepler-249 c,101,9880,19,122000000000.0,11900000000000.0,22900000000.0
Kepler-249 d,102,9874,24,344000000000.0,33300000000000.0,80900000000.0
Kepler-252 b,89,9889,22,107000000000.0,11900000000000.0,26500000000.0
Kepler-252 c,118,9867,15,270000000000.0,22600000000000.0,34400000000.0
Kepler-26 b,122,9862,16,319000000000.0,25800000000000.0,41900000000.0
Kepler-26 c,136,9844,20,560000000000.0,40500000000000.0,82400000000.0
Kepler-26 d,81,9892,27,44100000000.0,5390000000000.0,14700000000.0
Kepler-26 e,137,9846,17,2370000000000.0,171000000000000.0,295000000000.0
Kepler-267 b,339,9646,15,166000000000.0,4730000000000.0,7350000000.0
Kepler-267 c,124,9860,16,160000000000.0,12700000000000.0,20600000000.0
Kepler-267 d,132,9852,16,1120000000000.0,83700000000000.0,136000000000.0
Kepler-28 b,81,9895,24,93800000000.0,11500000000000.0,27800000000.0
Kepler-28 c,87,9892,21,176000000000.0,20000000000000.0,42500000000.0
Kepler-296 b,105,9873,22,235000000000.0,22100000000000.0,49200000000.0
Kepler-296 c,121,9864,15,118000000000.0,9590000000000.0,14600000000.0
Kepler-296 d,125,9862,13,623000000000.0,49200000000000.0,64800000000.0
Kepler-296 e,102,9879,19,1040000000000.0,101000000000000.0,194000000000.0
Kepler-296 f,113,9870,17,2630000000000.0,230000000000000.0,396000000000.0
Kepler-303 b,74,9899,27,15300000000.0,2040000000000.0,5570000000.0
Kepler-303 c,84,9893,23,97700000000.0,11500000000000.0,26800000000.0
Kepler-309 b,89,9888,23,111000000000.0,12300000000000.0,28700000000.0
Kepler-309 c,116,9868,16,6680000000000.0,568000000000000.0,921000000000.0
Kepler-32 b,901,9097,2,807000000000.0,8140000000000.0,1790000000.0
Kepler-32 c,664,9334,2,1930000000000.0,27100000000000.0,5800000000.0
Kepler-32 d,337,9649,14,2040000000000.0,58400000000000.0,84700000000.0
Kepler-32 e,109,9875,16,42500000000.0,3850000000000.0,6240000000.0
Kepler-32 f,948,9049,3,57400000000.0,548000000000.0,182000000.0
