Planeta,Zonas Estables,Zonas Inestables,Zonas Colisión m2,Área Estable (km²),Área Inestable (km²),Área Colisión m2 (km²)
TOI-125 b,136,9847,17,131000000000.0,9480000000000.0,16400000000.0
TOI-125 c,112,9871,17,266000000000.0,23400000000000.0,40300000000.0
TOI-125 d,165,9819,16,1110000000000.0,66000000000000.0,108000000000.0
TOI-1260 b,142,9845,13,68500000000.0,4750000000000.0,6270000000.0
TOI-1260 c,183,9799,18,283000000000.0,15100000000000.0,27800000000.0
TOI-1260 d,173,9813,14,772000000000.0,43800000000000.0,62400000000.0
TOI-1438 b,133,9852,15,146000000000.0,10800000000000.0,16400000000.0
TOI-1438 c,141,9843,16,348000000000.0,24300000000000.0,39500000000.0
TOI-178 b,77,9901,22,18700000000.0,2410000000000.0,5350000000.0
TOI-178 c,109,9876,15,53400000000.0,4840000000000.0,7350000000.0
TOI-178 d,114,9869,17,143000000000.0,12400000000000.0,21300000000.0
TOI-178 e,100,9881,19,220000000000.0,21700000000000.0,41700000000.0
TOI-178 f,118,9865,17,456000000000.0,38100000000000.0,65700000000.0
