Estrella,Planeta,Periodo(Dias),Semi_Eje(UA),Masa(Jup),Mp_sin_i(Jup),Masa(Tierra),Mp_sin_i(Tierra),Radio(Tierra),Metodo,Referencia
GJ 1061,GJ 1061 d,13.066,0.054,0.00525440760869433,0.00515999119025894,1.67,1.64,1.16,Radial Velocity,<a refstr=DREIZLER_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...698A.114D/abstract target=ref>Dreizler et al. 2025</a>
YZ Cet,YZ Cet b,2.02087,0.01634,0.00220244630304553,0.00220244630304553,0.7,0.7,0.913,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
YZ Cet,YZ Cet c,3.05989,0.02156,0.00358684112210272,0.00358684112210272,1.14,1.14,1.05,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
YZ Cet,YZ Cet d,4.65626,0.02851,0.00342952352902804,0.00342952352902804,1.09,1.09,1.03,Radial Velocity,<a refstr=STOCK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A.119S/abstract target=ref>Stock et al. 2020</a>
Teegarden's Star,Teegarden's Star d,26.13,0.0791,0.00258000852642476,0.00258000852642476,0.82,0.82,0.954,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Teegarden's Star,Teegarden's Star c,11.416,0.0455,0.00330366945456829,0.00330366945456829,1.05,1.05,1.02,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Teegarden's Star,Teegarden's Star b,4.90634,0.0259,0.00364976815933259,0.00364976815933259,1.16,1.16,1.05,Radial Velocity,<a refstr=DREIZLER_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.117D/abstract target=ref>Dreizler et al. 2024</a>
Wolf 1061,Wolf 1061 c,17.8719,0.089,0.0107290060724287,0.0107290060724287,3.41,3.41,1.66,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
Wolf 1061,Wolf 1061 b,4.8869,0.0375,0.0060095019349967,0.0060095019349967,1.91,1.91,1.21,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
Wolf 1061,Wolf 1061 d,217.21,0.47,0.0242267879054841,0.0242267879054841,7.7,7.7,2.69,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
GJ 876,GJ 876 e,124.26,0.3343,0.046,0.0485479658937168,14.6,15.43,3.92,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876,GJ 876 d,1.93778,0.02080665,0.021,0.0217411823931032,6.83,6.91,2.51,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876,GJ 876 c,30.0881,0.12959,0.7142,0.759840166126546,226.9846,241.5,14.0,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 876,GJ 876 b,61.1166,0.208317,2.2756,2.39404713211465,723.2235,760.9,13.3,Radial Velocity,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>
GJ 581,GJ 581 b,5.3686,0.0399,0.0645002131606191,0.0478243085926439,20.5,15.2,4.79,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 581,GJ 581 e,3.1481,0.02799,0.00780295261650416,0.0053,2.48,1.7,1.38,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 581,GJ 581 c,12.9211,0.0718,0.0214266561767715,0.0173,6.81,5.5,2.5,Radial Velocity,<a refstr=VON_STAUFFENBERG_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.112V/abstract target=ref>von Stauffenberg et al. 2024</a>
GJ 667 C,GJ 667 C f,39.026,0.156,0.008,0.008,2.7,2.7,1.45,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C,GJ 667 C b,7.203,0.050431,0.01789,0.01789,5.68,5.68,2.25,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.109B/abstract target=ref> Bonfils et al. 2013 </a>
GJ 667 C,GJ 667 C g,256.2,0.549,0.014,0.014,4.6,4.6,1.99,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C,GJ 667 C e,62.24,0.213,0.008,0.008,2.7,2.7,1.45,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 667 C,GJ 667 C c,28.14,0.125,0.012,0.012,3.8,3.8,1.77,Radial Velocity,<a refstr=ANGLADA_ESCUDE_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.126A/abstract target=ref> Anglada-Escude et al. 2013 </a>
GJ 433,GJ 433 d,36.059,0.178,0.0164333134065381,0.0164333134065381,5.223,5.223,2.14,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 433,GJ 433 b,7.3705,0.062,0.0190133090016676,0.0190133090016676,6.043,6.043,2.33,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 433,GJ 433 c,5094.105,4.819,0.102010508762546,0.102010508762546,32.422,32.422,6.27,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
GJ 367,GJ 367 c,11.5301,,0.0129944331879686,0.0129944331879686,4.13,4.13,1.86,Radial Velocity,<a refstr=GOFFO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...955L...3G/abstract target=ref>Goffo et al. 2023</a>
GJ 367,GJ 367 d,34.369,,0.0189725017248065,0.0189725017248065,6.03,6.03,2.33,Radial Velocity,<a refstr=GOFFO_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...955L...3G/abstract target=ref>Goffo et al. 2023</a>
GJ 367,GJ 367 b,0.3219226,0.0071,0.00158261498633129,,0.503,,0.736,Transit,<a refstr=LEE_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260618355L/abstract target=ref>Lee et al. 2026</a>
GJ 357,GJ 357 d,55.661,0.204,0.01919265015889,0.01919265015889,6.1,6.1,2.34,Radial Velocity,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>
GJ 357,GJ 357 b,3.9306,0.036,0.00575782390653331,,1.83,,1.2,Transit,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>
GJ 357,GJ 357 c,9.1247,0.061,0.0106975427115124,0.0106975427115124,3.4,3.4,1.66,Radial Velocity,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>
AU Mic,AU Mic e,33.11,,0.0663880242775153,0.110751585524575,21.1,35.2,4.87,Radial Velocity,<a refstr=DONATI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.227D/abstract target=ref>Donati et al. 2025</a>
AU Mic,AU Mic d,12.73596,,0.00331,,1.053,,1.02,Transit Timing Variations,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>
AU Mic,AU Mic c,18.859023,0.119,0.0454962479171977,,14.46,,2.79,Transit,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>
AU Mic,AU Mic b,8.463446,0.07,0.0282857032348276,0.18,8.99,57.2094,4.79,Transit,<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>
L 98-59,L 98-59 b,2.253114,0.0223,0.00144732185628706,,0.46,,0.837,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59,L 98-59 c,3.6906764,0.0309,0.00629270372298723,,2.0,,1.329,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59,L 98-59 f,23.064,0.1052,0.00880978521218212,0.00880978521218212,2.8,2.8,1.48,Radial Velocity,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59,L 98-59 e,12.8278,0.0712,0.00887271224941199,0.00887271224941199,2.82,2.82,1.49,Radial Velocity,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
L 98-59,L 98-59 d,7.450729,0.0494,0.00516001705284953,,1.64,,1.627,Transit,<a refstr=CADIEUX_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..154C/abstract target=ref>Cadieux et al. 2025</a>
